unitprice,name,age,WGS84lat,WGS84lon,lift
67012,左家庄南里,1983,39.95316855,116.4359278,FALSE
103697,和平里五区,1996,39.95332285,116.4165506,FALSE
120754.3333,文慧园北路甲6号院,1998,39.95340618,116.3569188,FALSE
108990,鼓楼外大街52号,1992,39.95352352,116.3895135,TRUE
94343.66667,远大园二区,2001,39.95352987,116.2753603,TRUE
93225.5,远大园一区,2001,39.95363856,116.2735238,TRUE
130746.5,小西天东里,1950,39.95364402,116.3668542,FALSE
82364.5,红联北村,1992,39.95385793,116.3529397,TRUE
72208,儒林苑,2003,39.95387323,116.4475708,TRUE
71204,US联邦公寓,2007,39.95388457,116.4575018,TRUE
118169.0769,六铺炕二区,1990,39.95392984,116.3814102,TRUE
90690,铁道科学研究院,1989,39.9540232,116.3296012,TRUE
69097.5,左家庄东里,1996,39.954024,116.4400302,FALSE
79782,厂洼西街10号院,1998,39.95406572,116.2925967,FALSE
133040,鲁艺上河村三区,2006,39.95415094,116.2858224,TRUE
97700.5,和平里三区,1996,39.95420157,116.4137376,FALSE
104815,厂洼西街6号院,2005,39.95424374,116.2962888,TRUE
88245.33333,青年湖东里,1992,39.95424737,116.4006848,FALSE
113314.6667,湖景苑,2000,39.95425571,116.3923474,TRUE
98991.33333,文慧园北路4号院,1999,39.95428889,116.3560607,FALSE
135473.6667,鲁艺上河村二区,2002,39.9543062,116.2835789,TRUE
129698.8,六铺炕一区,1997,39.95436486,116.3863139,FALSE
91268.66667,大慧寺21号院,1992,39.95444896,116.3268676,TRUE
139607,府上嘉园,2007,39.95444979,116.3880414,TRUE
84874,明光村小区,1981,39.95456226,116.3475116,TRUE
127006,新德街20号,1985,39.95458822,116.3682256,FALSE
119363.5,塔院胡同12号院,1986,39.95467075,116.374996,FALSE
85549,厂洼西街1号院,1989,39.95471969,116.2938674,FALSE
51743.6,德胜凯旋,2007,39.95495456,116.3748878,TRUE
96395,魏公村8号院,1997,39.95497682,116.3100877,TRUE
75990.5,学院南路32号院,1978,39.95503819,116.350674,FALSE
131272,新外大街18号,1990,39.95507321,116.3657877,TRUE
79691,力鸿花园,1998,39.9550802,116.4356868,TRUE
64073,东润枫景一期,2000,39.95514639,116.4887383,TRUE
90524,学院南路72号院,1992,39.95518406,116.325803,TRUE
131265,安德东里,1966,39.95519568,116.3867316,FALSE
143732.875,德胜里一区,1987,39.95529774,116.3714314,TRUE
77059,霞光里35号院,1984,39.95529958,116.454636,FALSE
109515,六铺炕,1992,39.9553573,116.3875216,TRUE
99315.5,远大园三区,2001,39.95537629,116.2817939,TRUE
90735,大柳树3号院,1984,39.95540776,116.3287508,FALSE
121735.4,人定湖西里,1958,39.95542742,116.3772456,FALSE
73841,柳芳北里,1987,39.95546097,116.4327448,TRUE
85028,华北东楼,1986,39.95553538,116.354677,FALSE
110158,安德里北街24号院,1983,39.95558417,116.3911095,FALSE
130211.375,新德街35号院,1990,39.95563079,116.3682759,FALSE
89286,学院南路丙10号院,1991,39.95564869,116.3595933,FALSE
109428,学院南路60号院,1993,39.95577897,116.3328461,FALSE
